isogroup160066	A0A024SH76	GO:0005576; GO:0016162; GO:0030248; GO:0030245
isogroup120760	A0A024SNB7	GO:0005576; GO:0008810; GO:0030248; GO:0030245
isogroup266374	A0A024SNB7	GO:0005576; GO:0008810; GO:0030248; GO:0030245
isogroup323162	A0A060A682	GO:0005911; GO:0016021; GO:0005886; GO:0008289; GO:0007618; GO:0045026; GO:0007338
isogroup32364	A0A068FIK2	GO:0055028; GO:0005737; GO:0005524; GO:0008017; GO:0003777; GO:0071555; GO:0007018
isogroup279881	A0A078CGE6	GO:0005737; GO:0005815; GO:0005730; GO:0005886; GO:0005524; GO:0004674; GO:0007049; GO:0051301; GO:0046777; GO:0051302
isogroup47989	A0A084R1J7	GO:0004497
isogroup28760	A0A089QRB9	GO:0005886; GO:0034081; GO:0016491; GO:0031177; GO:0016746; GO:1902321
isogroup298930	A0A089QRB9	GO:0005886; GO:0034081; GO:0016491; GO:0031177; GO:0016746; GO:1902321
isogroup333058	A0A0A1EA36	GO:0016853; GO:0016874; GO:0008168; GO:0031177; GO:0046585
isogroup354662	A0A0A6ZFR4	GO:0016758; GO:0008194; GO:0002238; GO:0016135; GO:0046246; GO:0016114
isogroup65579	A0A0C5PRW9	GO:0005789; GO:0016021; GO:0016213; GO:0006636
isogroup423769	A0A0C5URS1	GO:0030585
isogroup93778	A0A0E3D8M4	GO:0050660; GO:0004499; GO:0050661
isogroup40054	A0A0G2K0D3	GO:0005884; GO:0005829; GO:0030016; GO:0030017; GO:0005865; GO:0003779; GO:0005523; GO:0045010; GO:0006936; GO:0030239; GO:0051694; GO:0030838
isogroup114292	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup124217	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup161021	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup170333	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup204885	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup206744	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup211564	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup223456	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup232826	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup257210	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup257773	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup295114	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup296194	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup298966	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup307240	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup358307	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup36839	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup40764	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup45649	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup47664	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup51214	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup68954	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup73369	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup77921	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup92249	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup104485	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup109045	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup112477	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup117571	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup185685	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
