isogroup100038	Q1ZXK2
isogroup100048	P05661
isogroup100053	Q9FNN3
isogroup10007	P30182
isogroup100099	Q03601
isogroup100144	Q7X659
isogroup100158	O93937
isogroup100162	P11029
isogroup100183	Q6R8G2
isogroup100206	Q32L00
isogroup100207	O88427
isogroup100218	P53780
isogroup100229	Q5UQ52
isogroup100242	P75093
isogroup100270	Q9LW62
isogroup100281	O42861
isogroup100292	Q70LM4
isogroup100298	Q29RZ9
isogroup100350	C0HJP1
isogroup100367	P36428
isogroup100373	Q96NW4
isogroup100396	Q9BWU0
isogroup100399	P45524
isogroup100401	Q9HGM9
isogroup100437	Q55AX0
isogroup100460	Q6PG34
isogroup100464	O60055
isogroup100493	Q6ZI17
isogroup100515	P12368
isogroup100522	Q8W4M7
isogroup10053	D4GWH7
isogroup100543	P16157
isogroup100548	Q54WE5
isogroup100573	Q1ZXF1
isogroup100575	A3PXS9
isogroup100588	P59268
isogroup100613	Q9ZVN2
isogroup10063	Q8WXX0
isogroup100633	Q7TQM5
isogroup100637	P0A5F6
isogroup100676	Q9USW3
isogroup100680	Q7Z494
isogroup100701	O62305
isogroup100768	Q8VDU0
isogroup100771	Q54H45
isogroup100831	Q55027
isogroup100888	Q39565
isogroup100893	O42881
isogroup100894	Q9LQV2
isogroup100901	P04352
isogroup100905	Q9CAI5
isogroup100930	Q9CQA9
isogroup100939	Q14676
isogroup100969	A9RVK2
isogroup101000	Q8IY37
isogroup101015	Q5VRB2
isogroup101053	Q6CUA5
isogroup101057	Q7ZXX2
isogroup101077	Q8BWU8
isogroup101083	Q9BZC7
isogroup101098	Q21734
isogroup101134	Q61YZ4
isogroup101171	Q0AA26
isogroup101193	A1DCV5
isogroup101199	Q8IL04
isogroup101226	Q8L7L1
isogroup101288	O04584
isogroup101291	B0R0T1
isogroup101302	P17972
isogroup101312	Q7XJN0
isogroup101337	O49839
isogroup101341	Q9H4G4
isogroup101345	Q8T2J9
isogroup101348	Q7MGG3
isogroup101370	Q5ZMS4
isogroup101420	A9BJC1
isogroup101421	Q00808
isogroup101423	Q6C9T0
isogroup101435	Q58CV6
isogroup101449	B5DFC9
isogroup101457	Q9CWR2
isogroup101474	O54898
isogroup101491	Q69ZU8
isogroup101546	Q2SCF2
isogroup101595	Q91V24
isogroup101614	F4J2M6
isogroup101655	Q9BV73
isogroup101684	O15084
isogroup101697	P53780
isogroup101726	A2VEY9
isogroup101750	P17972
isogroup101768	Q6Z4H0
isogroup101816	Q94523
isogroup101830	Q10074
isogroup101833	Q25452
isogroup101835	O60084
isogroup101840	P10587
isogroup101862	Q90ZY4
isogroup101875	O48844
isogroup101891	P33182
isogroup101894	Q9N1Q8
isogroup101901	Q7RTR2
isogroup101918	A7B4V1
isogroup101919	Q6AWU6
isogroup101921	Q7XIM0
isogroup101962	P72926
isogroup101980	Q9P0K7
isogroup101997	Q8GWU0
isogroup102007	Q7QBJ0
isogroup102013	O88413
isogroup102014	Q5RF77
isogroup102027	B9FKW9
isogroup102065	Q24799
isogroup102078	Q15050
isogroup102083	Q94AC1
isogroup102090	Q5T4D3
isogroup102141	P00883
isogroup102163	Q6ZRR7
isogroup102169	F4HWL4
isogroup102180	Q7NFE9
isogroup102206	Q96RW7
isogroup102222	F4JEX5
isogroup102224	Q9N3T2
isogroup102233	O18158
isogroup102240	P38205
isogroup102260	P50648
isogroup102291	Q9LZ82
isogroup102295	Q80W99
isogroup102312	Q551H0
isogroup102313	Q695T9
isogroup102328	Q9ULJ7
isogroup102337	Q6TEM9
isogroup102345	P0C7U3
isogroup102366	O32846
isogroup102377	Q39238
isogroup102380	Q9DB26
isogroup102381	A9SIZ6
isogroup102383	P50694
isogroup102390	Q503P5
isogroup102391	Q9FGI1
isogroup102408	Q7V3Q3
isogroup102411	Q6ZFZ4
isogroup102435	O64642
isogroup102439	Q9EQS5
isogroup102467	Q9HGM9
isogroup102480	Q8K449
isogroup102486	Q39609
isogroup102508	O04308
isogroup102510	Q9BYQ8
isogroup102524	Q3SYU1
isogroup102551	Q9JKB0
isogroup102560	Q86ZN7
isogroup102561	P9WLZ3
isogroup102575	O88751
isogroup102585	Q9JJ80
isogroup102609	Q9WWU5
isogroup102614	Q9FVN0
isogroup102625	Q9ZE70
isogroup102635	Q9LSE4
isogroup102636	Q8BHK9
isogroup102638	Q5ZJD3
isogroup102648	Q936X2
isogroup102658	P9WIM5
isogroup102678	Q2KN99
isogroup102679	Q54V96
isogroup102682	O88600
isogroup102690	Q7RZ35
isogroup102693	Q9FIY7
isogroup102696	Q797A7
isogroup102712	Q4L208
isogroup102713	Q9BI88
isogroup10272	Q9LSQ5
isogroup102720	O88445
isogroup102732	Q6GLM5
isogroup102748	Q04634
isogroup102782	Q96PD7
isogroup102802	O22173
isogroup102811	P05434
isogroup102813	Q9V0D5
isogroup102819	O22437
isogroup102837	Q54I71
isogroup102846	Q9C9A2
isogroup102858	Q27032
isogroup102859	Q39J54
isogroup102873	C9D7C2
isogroup102879	Q8WWF8
isogroup102889	Q54R82
isogroup102890	Q381F9
isogroup102900	Q641K5
isogroup102923	Q80W94
isogroup102947	P9WQE3
isogroup102966	P32340
isogroup102984	Q6YZI0
isogroup102989	Q6DEH3
isogroup102990	Q6MEC9
isogroup103017	Q6F3I7
isogroup103031	P97386
isogroup103043	Q9NP64
isogroup103051	Q7ZW46
isogroup103052	Q8RWS8
isogroup103074	Q9SCY5
isogroup103076	Q54ML1
isogroup103092	P23671
isogroup103106	A9LIW2
isogroup103114	P38991
isogroup103130	Q23551
isogroup103163	P19485
isogroup103170	O76360
isogroup103185	Q75VR0
isogroup103202	O08595
isogroup103204	P16100
isogroup103221	P87055
isogroup103236	F4K6D3
isogroup103240	Q07116
isogroup103245	Q9LZA6
isogroup103251	O78410
isogroup103253	Q23F13
isogroup103260	Q6NWJ4
isogroup103264	Q8BLR9
isogroup103306	Q54VI1
