isogroup160066	A0A024SH76	 Exoglucanase 2 OS=Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) OX=1344414 GN=cbh2 PE=1 SV=1
isogroup120760	A0A024SNB7	 Endoglucanase EG-1 OS=Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) OX=1344414 GN=egl1 PE=1 SV=1
isogroup266374	A0A024SNB7	 Endoglucanase EG-1 OS=Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) OX=1344414 GN=egl1 PE=1 SV=1
isogroup323162	A0A060A682	 Hapless 2 OS=Tetrahymena thermophila OX=5911 GN=HAP2 PE=1 SV=1
isogroup32364	A0A068FIK2	 Kinesin-like protein KIN-4A OS=Gossypium hirsutum OX=3635 GN=KIN4A PE=2 SV=1
isogroup279881	A0A078CGE6	 MAP3K epsilon protein kinase 1 OS=Brassica napus OX=3708 GN=M3KE1 PE=1 SV=1
isogroup47989	A0A084R1J7	 Baeyer-Villiger monooxygenase ATR8 OS=Stachybotrys chlorohalonata (strain IBT 40285) OX=1283841 GN=ATR8 PE=3 SV=1
isogroup28760	A0A089QRB9	 Mycolipanoate synthase OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=msl3 PE=1 SV=2
isogroup298930	A0A089QRB9	 Mycolipanoate synthase OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=msl3 PE=1 SV=2
isogroup333058	A0A0A1EA36	 Enniatin synthetase OS=Fusarium oxysporum OX=5507 GN=ESYN1 PE=1 SV=1
isogroup354662	A0A0A6ZFR4	 UDP-glucosyltransferase 74AE2 OS=Panax ginseng OX=4054 GN=UGT74AE2 PE=1 SV=1
isogroup65579	A0A0C5PRW9	 Fatty acid desaturase 2 OS=Tachysurus fulvidraco OX=1234273 GN=FADS2 PE=2 SV=1
isogroup423769	A0A0C5URS1	 PPi-type phosphoenolpyruvate carboxykinase OS=Propionibacterium freudenreichii subsp. freudenreichii OX=66712 GN=RM25_0213 PE=1 SV=1
isogroup93778	A0A0E3D8M4	 Monooxygenase PC-14 OS=Penicillium crustosum OX=36656 GN=PC-14 PE=3 SV=1
isogroup40054	A0A0G2K0D3	 Leiomodin-1 OS=Rattus norvegicus OX=10116 GN=Lmod1 PE=1 SV=1
isogroup114292	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup124217	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup161021	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup170333	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup204885	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup206744	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup211564	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup223456	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup232826	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup257210	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup257773	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup295114	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup296194	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup298966	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
