isogroup100038	sp|Q1ZXK2|FORG_DICDI
isogroup100048	sp|P05661|MYSA_DROME
isogroup100053	sp|Q9FNN3|ILP1_ARATH
isogroup10007	sp|P30182|TOP2_ARATH
isogroup100099	sp|Q03601|NHL1_CAEEL
isogroup100144	sp|Q7X659|VP35A_ARATH
isogroup100158	sp|O93937|PYR1_EMENI
isogroup100162	sp|P11029|ACAC_CHICK
isogroup100183	sp|Q6R8G2|PHO18_ARATH
isogroup100206	sp|Q32L00|ALKB3_BOVIN
isogroup100207	sp|O88427|CAC1H_MOUSE
isogroup100218	sp|P53780|METC_ARATH
isogroup100229	sp|Q5UQ52|YR708_MIMIV
isogroup100242	sp|P75093|Y020_MYCPN
isogroup100270	sp|Q9LW62|CKL10_ARATH
isogroup100281	sp|O42861|FFT3_SCHPO
isogroup100292	sp|Q70LM4|LGRD_BREPA
isogroup100298	sp|Q29RZ9|WDR92_BOVIN
isogroup100350	sp|C0HJP1|CO1A1_CYCDI
isogroup100367	sp|P36428|SYA_ARATH
isogroup100373	sp|Q96NW4|ANR27_HUMAN
isogroup100396	sp|Q9BWU0|NADAP_HUMAN
isogroup100399	sp|P45524|YHET_ECOLI
isogroup100401	sp|Q9HGM9|DNJC7_SCHPO
isogroup100437	sp|Q55AX0|DLPC_DICDI
isogroup100460	sp|Q6PG34|CDKAL_DANRE
isogroup100464	sp|O60055|UTP20_SCHPO
isogroup100493	sp|Q6ZI17|OML2_ORYSJ
isogroup100515	sp|P12368|KAP2_RAT
isogroup100522	sp|Q8W4M7|ERCC2_ARATH
isogroup10053	sp|D4GWH7|Y2328_HALVD
isogroup100543	sp|P16157|ANK1_HUMAN
isogroup100548	sp|Q54WE5|PRP4B_DICDI
isogroup100573	sp|Q1ZXF1|ECHM_DICDI
isogroup100575	sp|A3PXS9|Y1918_MYCSJ
isogroup100588	sp|P59268|ZDHC9_MOUSE
isogroup100613	sp|Q9ZVN2|Y1457_ARATH
isogroup10063	sp|Q8WXX0|DYH7_HUMAN
isogroup100633	sp|Q7TQM5|KPRP_RAT
isogroup100637	sp|P0A5F6|Y1866_MYCBO
isogroup100676	sp|Q9USW3|YHZ7_SCHPO
isogroup100680	sp|Q7Z494|NPHP3_HUMAN
isogroup100701	sp|O62305|KCC2D_CAEEL
isogroup100768	sp|Q8VDU0|GPSM2_MOUSE
isogroup100771	sp|Q54H45|DRKB_DICDI
isogroup100831	sp|Q55027|SRPC_SYNE7
isogroup100888	sp|Q39565|DYHB_CHLRE
isogroup100893	sp|O42881|APTH1_SCHPO
isogroup100894	sp|Q9LQV2|RDR1_ARATH
isogroup100901	sp|P04352|CALM_CHLRE
isogroup100905	sp|Q9CAI5|CKL2_ARATH
isogroup100930	sp|Q9CQA9|NTPCR_MOUSE
isogroup100939	sp|Q14676|MDC1_HUMAN
isogroup100969	sp|A9RVK2|M3K1B_PHYPA
isogroup101000	sp|Q8IY37|DHX37_HUMAN
isogroup101015	sp|Q5VRB2|BASS2_ORYSJ
isogroup101053	sp|Q6CUA5|PNO1_KLULA
isogroup101057	sp|Q7ZXX2|KIF19_XENLA
isogroup101077	sp|Q8BWU8|AT2L1_MOUSE
isogroup101083	sp|Q9BZC7|ABCA2_HUMAN
isogroup101098	sp|Q21734|KS6A1_CAEEL
isogroup101134	sp|Q61YZ4|LOVG_CAEBR
isogroup101171	sp|Q0AA26|GLGB_ALKEH
isogroup101193	sp|A1DCV5|BGLL_NEOFI
isogroup101199	sp|Q8IL04|HDP_PLAF7
isogroup101226	sp|Q8L7L1|SPHK1_ARATH
isogroup101288	sp|O04584|FD4L1_ARATH
isogroup101291	sp|B0R0T1|VWA8_DANRE
isogroup101302	sp|P17972|KCNAW_DROME
isogroup101312	sp|Q7XJN0|RH17_ARATH
isogroup101337	sp|O49839|PBL2_ARATH
isogroup101341	sp|Q9H4G4|GAPR1_HUMAN
isogroup101345	sp|Q8T2J9|MCCB_DICDI
isogroup101348	sp|Q7MGG3|RIBXA_VIBVY
isogroup101370	sp|Q5ZMS4|NCOA7_CHICK
isogroup101420	sp|A9BJC1|MGGB_PETMO
isogroup101421	sp|Q00808|HETE1_PODAS
isogroup101423	sp|Q6C9T0|SLU7_YARLI
isogroup101435	sp|Q58CV6|KLDC3_BOVIN
isogroup101449	sp|B5DFC9|NID2_RAT
isogroup101457	sp|Q9CWR2|SMYD3_MOUSE
isogroup101474	sp|O54898|CAC1G_RAT
isogroup101491	sp|Q69ZU8|ANKR6_MOUSE
isogroup101546	sp|Q2SCF2|SERC_HAHCH
isogroup101595	sp|Q91V24|ABCA7_MOUSE
isogroup101614	sp|F4J2M6|KN14L_ARATH
isogroup101655	sp|Q9BV73|CP250_HUMAN
isogroup101684	sp|O15084|ANR28_HUMAN
isogroup101697	sp|P53780|METC_ARATH
isogroup101726	sp|A2VEY9|APP_DROME
isogroup101750	sp|P17972|KCNAW_DROME
isogroup101768	sp|Q6Z4H0|6PGL2_ORYSJ
isogroup101816	sp|Q94523|SDHA_DROME
isogroup101830	sp|Q10074|AVT3_SCHPO
isogroup101833	sp|Q25452|CAC1M_MUSDO
isogroup101835	sp|O60084|TIM44_SCHPO
isogroup101840	sp|P10587|MYH11_CHICK
isogroup101862	sp|Q90ZY4|SBK1_DANRE
isogroup101875	sp|O48844|PSD1A_ARATH
isogroup101891	sp|P33182|PEPM_TETPY
isogroup101894	sp|Q9N1Q8|CABP5_BOVIN
isogroup101901	sp|Q7RTR2|NLRC3_HUMAN
isogroup101918	sp|A7B4V1|HSDHB_RUMGV
isogroup101919	sp|Q6AWU6|HOL3_ARATH
isogroup101921	sp|Q7XIM0|CDPKH_ORYSJ
isogroup101962	sp|P72926|Y1024_SYNY3
isogroup101980	sp|Q9P0K7|RAI14_HUMAN
isogroup101997	sp|Q8GWU0|PGP2_ARATH
isogroup102007	sp|Q7QBJ0|LOVG_ANOGA
isogroup102013	sp|O88413|TULP3_MOUSE
isogroup102014	sp|Q5RF77|CHFR_PONAB
isogroup102027	sp|B9FKW9|CDPKE_ORYSJ
isogroup102065	sp|Q24799|MYPH_ECHGR
isogroup102078	sp|Q15050|RRS1_HUMAN
isogroup102083	sp|Q94AC1|STR6_ARATH
isogroup102090	sp|Q5T4D3|TMTC4_HUMAN
isogroup102141	sp|P00883|ALDOA_RABIT
isogroup102163	sp|Q6ZRR7|LRRC9_HUMAN
isogroup102169	sp|F4HWL4|SYYC2_ARATH
isogroup102180	sp|Q7NFE9|CLPB_GLOVI
isogroup102206	sp|Q96RW7|HMCN1_HUMAN
isogroup102222	sp|F4JEX5|FIGL1_ARATH
isogroup102224	sp|Q9N3T2|FEN1_CAEEL
isogroup102233	sp|O18158|OGT1_CAEEL
isogroup102240	sp|P38205|NCL1_YEAST
isogroup102260	sp|P50648|RIR1_PLAF4
isogroup102291	sp|Q9LZ82|BTR1_ARATH
isogroup102295	sp|Q80W99|CTSR3_MOUSE
isogroup102312	sp|Q551H0|MUS81_DICDI
isogroup102313	sp|Q695T9|RHBL2_TOXGO
isogroup102328	sp|Q9ULJ7|ANR50_HUMAN
isogroup102337	sp|Q6TEM9|MYLIA_DANRE
isogroup102345	sp|P0C7U3|ZH11B_HUMAN
isogroup102366	sp|O32846|CH10_LACZE
isogroup102377	sp|Q39238|TSL_ARATH
isogroup102380	sp|Q9DB26|PHYD1_MOUSE
isogroup102381	sp|A9SIZ6|D5FAD_PHYPA
isogroup102383	sp|P50694|TLP_PRUAV
isogroup102390	sp|Q503P5|S49A3_DANRE
isogroup102391	sp|Q9FGI1|LTN1_ARATH
isogroup102408	sp|Q7V3Q3|DNAJ_PROMP
isogroup102411	sp|Q6ZFZ4|DEK1_ORYSJ
isogroup102435	sp|O64642|URT1_ARATH
isogroup102439	sp|Q9EQS5|SC5D_RAT
isogroup102467	sp|Q9HGM9|DNJC7_SCHPO
isogroup102480	sp|Q8K449|ABCA9_MOUSE
isogroup102486	sp|Q39609|NRT22_CHLRE
isogroup102508	sp|O04308|MPPA2_ARATH
isogroup102510	sp|Q9BYQ8|KRA49_HUMAN
isogroup102524	sp|Q3SYU1|NOC2L_BOVIN
